drug,structure_id,parent_smiles,cid
RUXOLITINIB,8200F8BEBBABBC8DDE876310,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,25126798.0
TEMOZOLOMIDE,C285D17579B0442AF6F81F6E,Cn1nnc2c(C(N)=O)ncn2c1=O,5394.0
SORAFENIB,714D8ABB0E50EDC4E2143AE9,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,216239.0
SUNITINIB,8EF0A48EF1E545CADBEABC48,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,5329102.0
ZOLINZA,D4030381944BA4B0EAE585D3,O=C(CCCCCCC(=O)Nc1ccccc1)NO,5311.0
DASATINIB,FD8926639E328DCDF2FDE5A7,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,3062316.0
LAPATINIB,76003F2212A5DE6157EA8A8A,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,208908.0
METHOTREXATE,585572F371657C1C22C476D9,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,126941.0
5-FU,38E62F91F7DE5FA84EAA1BFB,O=c1[nH]cc(F)c(=O)[nH]1,3385.0
BORTEZOMIB,78700451929BD30494FF912A,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447.0
SN-38,775856982A7691620D237733,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,104842.0
CARBOPLATIN,A9F32493765670C6ACD771D5,O=C(O)C1(C(=O)O)CCC1,426756.0
MITOMYCINE,3B03B4F7337C690174634A70,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5746.0
CYCLOPHOSPHAMIDE,C1FEBE65424A8D1EDD070AC1,O=P1(N(CCCl)CCCl)NCCCO1,2907.0
PACLITAXEL,D6D8CF365D23EF6F5E00709E,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,36314.0
GEFITINIB,D3CD41E66BE72A4A6E3340D7,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,123631.0
ALTRETAMINE,59AF27C13C5197D5855937B3,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2123.0
CHLORAMBUCIL,87C43CFE895B099DDCC924A6,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,2708.0
ALLOPURINOL,6F367EAA4595C4E3B83277D9,O=c1[nH]cnc2[nH]ncc12,135401907.0
MITOXANTRONE,48D865B5A18A0A808A050F9B,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,4212.0
DOCETAXEL,DD11C6FB4A11D32EF52767A0,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,148124.0
ANASTROZOLE,545166968BE95073C7BB1667,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2187.0
HYDROXYUREA,CCA86DA38A87318D55FE1F1D,NC(=O)NO,3657.0
BUSULFAN,B5E5F50EE10450907F30335F,CS(=O)(=O)OCCCCOS(C)(=O)=O,2478.0
IMATINIB,B00B6DCC21C3BF4D9320AACC,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,5291.0
THIOTEPA,A6A3CA03AB171656638910E6,S=P(N1CC1)(N1CC1)N1CC1,5453.0
THALIDOMIDE,076F990333CAD32C4CFEAB3C,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,5426.0
CARMUSTINE,E01289C2C6291866F26656B8,O=NN(CCCl)C(=O)NCCCl,2578.0
LENALIDOMIDE,55E5B8A492256DCFF7EC0174,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,216326.0
MITOTANE,54CD1C02669CC70BAA895929,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,4211.0
MERCAPTOPURINE,BF9812CCC09D39AB68DD3D7C,S=c1nc[nH]c2nc[nH]c12,667490.0
RALOXIFENE,8A1561FBC50CFBCB3A3DEFD2,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5035.0
CRIZOTINIB,43B473FE234D24BCCEC6307C,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,11626560.0
NILOTINIB,7938CCD3B1A1DBA34DDCEEAC,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,644241.0
DACARBAZINE,B96F1C53E0906B64FF761F88,CN(C)N=Nc1nc[nH]c1C(N)=O,135398738.0
EXEMESTANE,DDC38B32C9447B9DC6C85849,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,60198.0
DEXRAZOXANE,34188E0E77440001E52C2631,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,71384.0
MELPHALAN HYDROCHLORIDE,140204B302158173DBCDD00F,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,9927978.0
MEGESTROL ACETATE,99A1563EE63FEB12C50357CC,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,11683.0
THIOGUANINE,DAC249E5E4E0324D60B72A75,Nc1nc(=S)c2[nH]cnc2[nH]1,2723601.0
URACIL MUSTARD,7FE6187A0C7F62731EAE7C4F,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,6194.0
LOMUSTINE,3D67C827C0537CE397BC71CE,O=NN(CCCl)C(=O)NC1CCCCC1,3950.0
TENIPOSIDE,5CCC91EDD03867565B82F844,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,452548.0
NSC141540,736E4DB61A93EB1C97F1C33E,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,36462.0
VANDETANIB,FC97D4677CD8C3D3E8AFC33F,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,3081361.0
PEMETREXED,314E83A970AF1C06AD05475C,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,135410875.0
NSC-127716,97DF6318D37DBEFEFCDE95C2,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,451668.0
VISMODEGIB,74F0FA027B20E040A0A52698,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,24776445.0
DAUNORUBICIN HYDROCHLORIDE,D214D1AAA023A1F99CABD050,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,62770.0
AXITINIB,D62786D59ECEBB14FADB852E,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,6450551.0
PRALATREXATE,127135326879E50390FE65AC,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,148121.0
ARSENIC TRIOXIDE,E1220348F5C2D4FFFC1426B4,[As+3],14888.0
