drug,pair_cell_count
RUXOLITINIB,9660
TEMOZOLOMIDE,9253
SORAFENIB,7609
SUNITINIB,7555
ZOLINZA,7535
DASATINIB,7426
LAPATINIB,7246
METHOTREXATE,7118
5-FU,7107
BORTEZOMIB,7020
SN-38,6973
CARBOPLATIN,6953
MITOMYCINE,6866
CYCLOPHOSPHAMIDE,6735
PACLITAXEL,6455
GEFITINIB,6417
ALTRETAMINE,6304
CHLORAMBUCIL,6301
ALLOPURINOL,6230
MITOXANTRONE,6215
DOCETAXEL,6213
ANASTROZOLE,6212
HYDROXYUREA,6200
BUSULFAN,6173
IMATINIB,6170
THIOTEPA,6168
THALIDOMIDE,6164
CARMUSTINE,6163
LENALIDOMIDE,6144
MITOTANE,6144
MERCAPTOPURINE,6140
RALOXIFENE,6048
CRIZOTINIB,6046
NILOTINIB,6027
DACARBAZINE,6024
EXEMESTANE,6024
DEXRAZOXANE,6020
MELPHALAN HYDROCHLORIDE,6018
ADM HYDROCHLORIDE,6008
MEGESTROL ACETATE,6008
THIOGUANINE,6005
URACIL MUSTARD,6004
LOMUSTINE,5995
TENIPOSIDE,5993
NSC141540,5990
VANDETANIB,5986
PEMETREXED,5975
NSC-127716,5972
VISMODEGIB,5969
DAUNORUBICIN HYDROCHLORIDE,5967
AXITINIB,5960
PRALATREXATE,5958
ARSENIC TRIOXIDE,5949
ZOLEDRONIC ACID,5939
ABIRATERONE,5934
NSC733504,5932
NAVELBINE DITARTRATE (TN),5931
VINCRISTINE SULFATE,5930
FULVESTRANT,5929
ERLOTINIB HYDROCHLORIDE,5924
BLEOMYCIN,5917
QUINACRINE HYDROCHLORIDE,5917
IFOSFAMIDE,5916
ROMIDEPSIN,5915
IMIQUIMOD,5914
TOPOTECAN HYDROCHLORIDE,5911
TRETINOIN,5906
ANTIBIOTIC AY 22989,5905
CISPLATINO,5903
AMIFOSTINE,5900
CHEMBL277800,5900
CELECOXIB,5899
NSC 85998,5896
CHEMBL17639,5895
PAZOPANIB HYDROCHLORIDE,5890
LETROZOLE,5888
PIPOBROMAN,5888
METHOXSALEN,5887
CYTARABINE HYDROCHLORIDE,5882
ELOXATIN (TN) (SANOFI SYNTHELAB),5880
CO-V,5877
5-FLUORO-2\'-DEOXYURIDINE,5876
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,5871
34793-34-5,5869
ACTINOMYCIN D,5868
GEMZAR (LILLY),5866
TAMOXIFEN CITRATE,5859
MECHLORETHAMINE HYDROCHLORIDE,5850
AZACYTIDINE,5847
AMINOLEVULINIC ACID HYDROCHLORIDE,5838
BENDAMUSTINE HYDROCHLORIDE,5831
VEMURAFENIB,5827
FLUDARABINE BASE,5823
VINBLASTINE SULFATE,5784
PLICAMYCIN,5769
PROCARBAZINE HYDROCHLORIDE,5717
CABAZITAXEL,5711
NSC256439,5667
IXABEPILONE,5585
EMCYT (PHARMACIA),5476
ANTIBIOTIC AD 32,5435
TRIETHYLENEMELAMINE,5177
PANOBINOSTAT,3920
MARIZOMIB,2477
MARIZOMIB / SALINOSPORAMIDE A,2443
PF-431396,1913
717906-29-1,1901
MK-2206,1726
BEZ-235,1652
AZD1775,1585
MK-4827,1546
ERLOTINIB,1516
PD325901,1510
DINACICLIB,1488
MK-5108,1454
ABT-888,1450
GELDANAMYCIN,1449
MK-8776,1447
MK-8669,1446
L778123,1445
MK-4541,1443
MRK-003,1443
DOXORUBICIN,1385
METFORMIN,1150
VINBLASTINE,1143
ETOPOSIDE,1007
GEMCITABINE,930
TOPOTECAN,891
DEXAMETHASONE,880
MEFLOQUINE,873
VINORELBINE,867
OXALIPLATIN,863
CHLOROQUINE,756
LUMEFANTRINE,746
(+)-JQ1,701
ARTEMETHER,687
ATOVAQUONE,580
MEBENDAZOLE,570
AZITHROMYCIN,551
ARTESUNATE,522
IBRUTINIB (PCI-32765),496
GENZ-669178,486
IVERMECTIN,483
ML238,483
HALOFANTRINE,479
IBRUTINIB,463
METHYLENE BLUE,461
EVEROLIMUS,457
PROGUANIL,450
DISULFIRAM,446
BARDOXOLONE METHYL,435
CARFILZOMIB,432
ARTENIMOL,419
DIHYDROERGOTAMINE,414
PYRONARIDINE,411
NITD609,405
TAMOXIFEN,403
NICLOSAMIDE,402
AURANOFIN,377
ORLISTAT,350
HALOFANTRINE HYDROCHLORIDE,347
RILUZOLE,335
CYTARABINE,333
