evaluation,subset,model,rmse,mae,r2,pearson,spearman
lodo_macro,all,extra_trees,135.22945919424043,52.142692717401545,-265.6684104368121,0.029883249533249584,0.1418198392686864
lodo_macro,all,mean,70.44403320517564,69.89443948465586,-91.28010498621617,,
lodo_macro,all,median,9.294191727875992,5.23090047072809,-0.05176542924170724,,
lodo_macro,all,random_forest,123.73547359782488,54.2955035825423,-230.2271568756126,0.03863332758218561,0.1158796602319642
lodo_macro,all,ridge,786.0044013272395,413.3816583211409,-7344.816847069266,0.015564438229878224,0.021969160581332595
lodo_macro,all,ridge_clip_train,9.030266991435962,5.3691972934985,0.003809544182387448,0.27947097705978796,0.25084511246169566
lodo_macro,all,xgboost,563.0501906509827,40.937946656810496,-4773.315823751361,0.020084081982521124,0.01697525569947627
lodo_macro,all,xgboost_clip_train,9.071888402439425,5.261549455013887,-0.018759874569678193,0.2081059558620121,0.16437598959315808
lodo_macro,central_abs_le_100,extra_trees,135.31788398460336,52.07230640246453,-401.23438903125805,0.03034134612505887,0.14082795837856757
lodo_macro,central_abs_le_100,mean,70.27699815141149,69.84184426043119,-97.62162958376516,,
lodo_macro,central_abs_le_100,median,7.888746959921723,5.089290361120546,-0.05684746379518233,,
lodo_macro,central_abs_le_100,random_forest,123.7871791277571,54.22567096978493,-317.1370113181789,0.03959781171889627,0.11500358584562416
lodo_macro,central_abs_le_100,ridge,781.1216199961239,412.6204598277227,-12500.993141361023,0.026127189412414487,0.022899857788540555
lodo_macro,central_abs_le_100,ridge_clip_train,7.820581632709155,5.243171595414699,-0.03545159531294155,0.29389797742197865,0.25004002250024654
lodo_macro,central_abs_le_100,xgboost,561.4777068327212,40.180018308228284,-17597.117707802267,0.026658403700120615,0.016541837111920515
lodo_macro,central_abs_le_100,xgboost_clip_train,7.716131401500033,5.12872226081703,-0.020928845954542787,0.22115514514842935,0.16327165918819148
lodo_macro,exactly_one_unseen,extra_trees,136.88440776693187,52.23116144639202,-313.85503010470313,0.030601704725828266,0.13620610479076586
lodo_macro,exactly_one_unseen,mean,70.49902294368069,69.96293818700664,-92.23320202545088,,
lodo_macro,exactly_one_unseen,median,9.191492554783434,5.160758042772756,-0.0499257170692331,,
lodo_macro,exactly_one_unseen,random_forest,125.25491696765046,54.35925313772428,-271.25201329053266,0.039191681907677245,0.11049005730464807
lodo_macro,exactly_one_unseen,ridge,791.7458891228648,411.31960912840515,-8114.993168669651,0.01537776802489484,0.012702113660308134
lodo_macro,exactly_one_unseen,ridge_clip_train,8.927870256726361,5.302373968475328,0.006246162105387376,0.2805975948301814,0.2484698341489647
lodo_macro,exactly_one_unseen,xgboost,566.2034470333385,41.145602720215486,-4945.187515648743,0.021252846304170295,0.017355082237596568
lodo_macro,exactly_one_unseen,xgboost_clip_train,8.967486654158154,5.192942553674369,-0.016081016163170515,0.20994529003189172,0.16395835104654388
random,all,extra_trees,4022.259788415441,120.19420999432579,0.0003360524510691576,0.052375449254567975,0.05075369451470671
random,all,mean,4023.018456089098,123.76496956542083,-4.109088938841765e-05,,
random,all,median,4023.2236349650457,55.34037105987854,-0.0001431001352181216,,
random,all,random_forest,4014.9408660130625,120.95813696199436,0.003970728832187409,0.06329956878804574,0.21439622454296658
random,all,ridge,4123.188889470949,179.47628793199567,-0.05046178360092468,0.09768115569792454,0.06775016889722663
random,all,ridge_clip_train,4023.144117246683,54.62499903538006,-0.00010356551390877655,0.01702163634112192,0.39740218909481656
random,all,xgboost,5499.227491171267,127.99610660186417,-0.86860353896969,0.028200772036880654,0.03475491874233904
random,all,xgboost_clip_train,4023.1926864234442,54.76541015221498,-0.00012771304561143282,0.00925071838924699,0.3418254245202733
random,central_abs_le_100,extra_trees,412.5836673046153,71.27617024386464,-1727.9509915031613,0.01605886216950917,0.04860063699203332
random,central_abs_le_100,mean,75.22942164975932,74.57912545058682,-56.4822905411704,,
random,central_abs_le_100,median,9.944425044536407,5.984394243706875,-0.004426070684406369,,
random,central_abs_le_100,random_forest,257.7748530520281,71.9814753765343,-673.9004462068519,0.02753486431048495,0.21236756337601273
random,central_abs_le_100,ridge,1361.2532527038122,130.97485138188352,-18819.730692350993,0.023514021784775387,0.06783435453041481
random,central_abs_le_100,ridge_clip_train,8.572419700777296,5.281855293500968,0.2536105867579812,0.5042484949614434,0.39581007682720354
random,central_abs_le_100,xgboost,3824.8305942169463,77.92050777900698,-148586.75754634893,0.008151180678617696,0.030698397562838646
random,central_abs_le_100,xgboost_clip_train,8.70918662636775,5.426876091698216,0.22960436511270665,0.48242008308663226,0.33966288538368755
